Ссылка;Адрес;Год ввода в эксплуатацию;Детская площадка;Дом признан аварийным;Дополнительная информация;Количество жилых помещений;Класс энергетической эффективности;Количество лифтов;Количество подъездов;Лифты;Наибольшее количество этажей;Наименьшее количество этажей;Количество нежилых помещений;Площадь жилых помещений м2;Площадь нежилых помещений м2;Площадь помещений общего имущества м2;Площадь зем. участка общего имущества м2;Площадь парковки м2;Серия, тип постройки здания;Спортивная площадка;Формирование фонда кап. ремонта;Тип дома;Оборудование;Количество мусоропроводов, ед.;Несущие стены;Площадь подвала, кв.м;Крыша;Мусоропровод;Перекрытия;Фасад;Фундамент;Количество вводов в дом, ед.;Объем выгребных ям, куб. м.;Вентиляция;Водоотведение;Система водостоков;Газоснабжение;Горячее водоснабжение;Система пожаротушения;Теплоснабжение;Холодное водоснабжение;Электроснабжение
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/835284;ул. Аптечная 4;1943;-;Нет;-;-;-;-;1;-;2;-;-;475.70;0.00;-;-;-;-;-;-;Многоквартирный дом;-;-;Смешанные;-;-;-;Железобетонные;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/1023642;ул. Аптечная 4;-;-;Нет;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/820465;ул. Аптечная 5;1943;-;Нет;-;-;-;-;1;-;2;-;-;486.20;0.00;-;-;-;нет данных в тех. паспорте;-;-;Многоквартирный дом;-;-;Смешанные;-;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/536012;ул. Аптечная 5А;1987;Есть;Нет;нет;55;Не присвоен;-;4;-;5;5;-;2568.60;0.00;329.10;3411.00;0.00;нет данных в тех. паспорте;Есть;На счете регионального оператора;Многоквартирный дом;-;-;Каменные, кирпичные;451.20;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Иной;-;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/536012;ул. Аптечная 5А;1987;Есть;Нет;нет;55;Не присвоен;-;4;-;5;5;-;2568.60;0.00;329.10;3411.00;0.00;нет данных в тех. паспорте;Есть;На счете регионального оператора;Многоквартирный дом;-;-;Каменные, кирпичные;451.20;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Иной;-;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/835285;ул. Аптечная 6;1943;-;Нет;-;-;-;-;1;-;2;-;-;477.70;0.50;-;-;-;-;-;-;Многоквартирный дом;-;-;Смешанные;-;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/826556;ул. Аптечная 7;1943;-;Нет;-;-;-;-;1;-;2;-;-;486.70;0.20;-;-;-;-;-;-;Многоквартирный дом;-;-;Смешанные;-;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/1021878;ул. Аптечная 7;-;-;Нет;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/826557;ул. Аптечная 8;1943;-;Нет;-;-;-;-;1;-;2;-;-;472.70;-;-;-;-;-;-;-;Многоквартирный дом;-;-;Смешанные;-;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/1020736;ул. Аптечная 8;-;-;Нет;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/1021880;ул. Аптечная 8;-;-;Нет;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/1021883;ул. Аптечная 8;-;-;Нет;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/641078;ул. Аральская 193;1991;Есть;Нет;нет;161;Не присвоен;4;4;пассажирские - 4, ;10;10;-;8611.10;0.00;1981.80;0.00;0.00;121;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;4;Панельные;1128.30;Плоская;На лестничной клетке;Железобетонные;Соответствует материалу стен;Иной;2;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/536733;ул. Аральская 195;2002;Не имеется;Нет;-;77;Не присвоен;2;2;пассажирские - 2, ;10;10;1;4600.20;102.20;0.00;0.00;105.00;97;Не имеется;На специальном счете организации;Многоквартирный дом;-;-;Панельные;601.40;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Бетонные столбы;2;-;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533330;ул. Аральская 212А;1993;Не имеется;Нет;-;80;-;2;2;пассажирские - 2, ;10;10;-;4463.20;0.00;1079.90;3477.00;0.00;97;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;2;Панельные;455.20;Плоская;На лестничной клетке;Железобетонные;Соответствует материалу стен;Ленточный;2;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/610253;ул. Аральская 212;1998;Есть;Нет;нет;230;Не присвоен;7;7;пассажирские - 7, ;10;10;1;12383.60;51.90;3370.60;5249.40;0.00;97;Не имеется;На специальном счете у регионального оператора;Многоквартирный дом;нет;7;Панельные;1954.00;Плоская;На лестничной клетке;Железобетонные;Соответствует материалу стен;Бетонные столбы;4;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/641080;ул. Аральская 214А;1990;Не имеется;Нет;нет;120;Не присвоен;3;3;пассажирские - 3, ;10;10;-;6445.70;0.00;1543.20;0.00;0.00;121;Не имеется;На счете регионального оператора;Многоквартирный дом;Антенна общего пользования;3;Панельные;844.10;Плоская;На лестничной клетке;Железобетонные;Соответствует материалу стен;Иной;2;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/641079;ул. Аральская 214;1991;Не имеется;Нет;нет;80;Не присвоен;2;2;пассажирские - 2, ;10;10;1;4251.90;17.20;1032.30;0.00;0.00;121;Не имеется;На счете регионального оператора;Многоквартирный дом;Антенна общего пользования;2;Панельные;589.80;Плоская;На лестничной клетке;Железобетонные;Соответствует материалу стен;Иной;2;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/641081;ул. Аральская 243А;1973;Есть;Нет;нет;124;Не присвоен;-;8;-;5;5;2;5897.50;263.20;2031.80;134.32;0.00;1-464;Есть;На счете регионального оператора;Многоквартирный дом;нет;-;Панельные;1608.20;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Иной;1;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/538010;пер. Арматурный 2;1959;Есть;Нет;-;55;C;-;6;-;3;3;-;2811.40;0.00;1148.60;0.00;0.00;-;Не имеется;Не определен;Многоквартирный дом;нет;-;Блочные;782.30;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/538011;пер. Арматурный 4;1962;Есть;Нет;-;93;C;-;2;-;5;5;1;1828.60;381.50;555.70;1640.00;0.00;-;Не имеется;Не определен;Многоквартирный дом;нет;-;Каменные, кирпичные;0.00;Скатная;Отсутствует;Деревянные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/594654;пер. Арматурный 5 к. А;2013;Есть;Нет;-;72;B;1;1;пассажирские - 1, ;9;9;3;2398.54;550.79;593.02;584.40;0.00;121-Т;Есть;На счете регионального оператора;Многоквартирный дом;-;-;Панельные;402.60;Плоская;Отсутствует;Железобетонные;Окрашенный;Свайный;1;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Индивидуальный тепловой пункт (ИТП);Пожарный кран;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/594655;пер. Арматурный 5 к. Б;2013;Есть;Нет;-;41;B;1;1;пассажирские - 1, ;10;10;1;2332.96;163.72;498.92;1726.00;512.00;121-Т;Есть;На счете регионального оператора;Многоквартирный дом;-;-;Панельные;156.80;Плоская;Отсутствует;Железобетонные;Окрашенный;Свайный;1;0.00;Вытяжная вентиляция;Центральное;Смешанные;Отсутствует;Индивидуальный тепловой пункт (ИТП);Пожарные гидранты;Индивидуальный тепловой пункт (ИТП);Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/594656;пер. Арматурный 5 к. В;2013;Есть;Нет;-;120;B;3;3;пассажирские - 3, ;10;10;3;6758.40;430.50;780.51;1720.67;326.12;121-Т;Не имеется;На счете регионального оператора;Многоквартирный дом;-;-;Панельные;438.70;Плоская;Отсутствует;Железобетонные;Окрашенный;Свайный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Смешанные;Отсутствует;Индивидуальный тепловой пункт (ИТП);Отсутствует;Индивидуальный тепловой пункт (ИТП);Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/594657;пер. Арматурный 5 к. Г;2013;Есть;Нет;-;120;B;3;3;пассажирские - 3, ;10;10;3;6758.40;430.50;780.51;1278.12;845.60;121-Т;Не имеется;На счете регионального оператора;Многоквартирный дом;-;-;Панельные;478.20;Плоская;Отсутствует;Железобетонные;Окрашенный;Свайный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Смешанные;Отсутствует;Индивидуальный тепловой пункт (ИТП);Отсутствует;Индивидуальный тепловой пункт (ИТП);Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/538012;пер. Арматурный 8;1961;Есть;Нет;-;64;C;-;4;-;4;4;-;2542.30;0.00;899.00;0.00;0.00;-;Не имеется;Не определен;Многоквартирный дом;нет;-;Блочные;580.00;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/538013;пер. Арматурный 10;1961;Есть;Нет;-;32;C;-;2;-;4;4;-;1291.90;0.00;108.90;0.00;0.00;-;Не имеется;Не определен;Многоквартирный дом;нет;-;Каменные, кирпичные;0.00;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/535502;ул. Артиллерийская 8;1956;-;Нет;-;-;Не присвоен;-;4;-;2;1;-;1887.70;0.00;-;4492.00;-;0.00;-;На счете регионального оператора;Многоквартирный дом;-;-;Блочные;550.90;-;-;Деревянные;-;-;1;-;-;Центральное;-;Центральное;Центральное (закрытая система);-;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/535503;ул. Артиллерийская 10;1955;-;Нет;-;-;Не присвоен;-;4;-;3;1;-;2019.00;44.40;-;0.00;-;0.00;-;На счете регионального оператора;Многоквартирный дом;-;-;Блочные;163.80;-;-;Деревянные;-;-;1;-;-;Центральное;-;Центральное;Центральное (закрытая система);-;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/520332;ул. Артиллерийская 21;1950;Есть;Нет;-;16;-;-;3;-;2;1;2;558.80;45.50;-;-;-;Блочный;Не имеется;На счете регионального оператора;Многоквартирный дом;-;-;Блочные;525.00;Скатная;Отсутствует;Железобетонные;Оштукатуренный;Ленточный;-;-;-;Центральное;Наружные водостоки;-;Центральное (закрытая система);-;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/520333;ул. Артиллерийская 23;1950;Есть;Нет;-;36;-;-;3;-;2;1;2;553.30;99.00;-;-;-;Блочный;Не имеется;На счете регионального оператора;Многоквартирный дом;-;-;Блочные;-;Скатная;Отсутствует;Деревянные;Оштукатуренный;Ленточный;-;-;-;Центральное;-;-;-;Отсутствует;Центральное;Центральное;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/520334;ул. Артиллерийская 26;1953;Есть;Нет;-;57;-;-;3;-;3;1;2;934.90;18.80;-;-;-;Блочный;Не имеется;На счете регионального оператора;Многоквартирный дом;-;-;Блочные;775.00;Скатная;Отсутствует;Деревянные;Оштукатуренный;Ленточный;-;-;-;Центральное;-;-;-;-;Центральное;-;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/535504;ул. Артиллерийская 32;1957;-;Нет;-;-;Не присвоен;-;3;-;3;-;-;1574.50;0.00;-;2615.00;-;0.00;-;-;Многоквартирный дом;-;-;Блочные;486.80;-;-;Железобетонные;-;-;1;-;-;Центральное;-;Центральное;Центральное (закрытая система);-;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534721;ул. Артиллерийская 53;1960;Не имеется;Нет;Не имеется;48;Не присвоен;-;3;-;4;4;-;1521.90;0.00;229.10;797.00;0.00;шлакоблочный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Каменные, кирпичные;82.10;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/517444;ул. Артиллерийская 53 к. А;1967;Не имеется;Нет;Проект брежневка;70;Не присвоен;-;4;-;5;5;-;2657.80;293.70;1011.90;5207.00;0.00;нет данных в тех.паспорте;Есть;На специальном счете у регионального оператора;Многоквартирный дом;-;-;Смешанные;733.30;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Сборный;1;-;Вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (закрытая система);Пожарные гидранты;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/988538;ул. Артиллерийская 53 к. Б;1967;Есть;Нет;Проект брежневка;70;Не присвоен;-;4;-;5;5;-;1620.10;0.00;0.00;4047.00;0.00;нет данных в тех.паспорте;Не имеется;На специальном счете у регионального оператора;Многоквартирный дом;-;-;Смешанные;694.00;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Сборный;1;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (закрытая система);Пожарные гидранты;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/1055013;ул. Артиллерийская 53А;-;-;Нет;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/802362;ул. Артиллерийская 53Б;1967;Есть;Нет;Проект брежневка;70;Не присвоен;-;4;-;5;5;-;2673.70;298.30;1112.40;4047.00;-;нет данных в тех.паспорте;Не имеется;На специальном счете у регионального оператора;Многоквартирный дом;-;-;Смешанные;834.20;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Сборный;1;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (закрытая система);Пожарные гидранты;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534722;ул. Артиллерийская 55;1961;Не имеется;Нет;Не имеется;21;Не присвоен;-;3;-;4;4;2;2055.70;435.10;1214.30;2902.00;0.00;кирпичный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Каменные, кирпичные;247.90;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534723;ул. Артиллерийская 57;1960;Не имеется;Нет;Не имеется;48;Не присвоен;-;3;-;4;4;-;1531.50;0.00;684.40;710.00;0.00;шлакоблочный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Иные;0.00;Плоская;Отсутствует;Железобетонные;Иной;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534724;ул. Артиллерийская 59;1959;Не имеется;Нет;Не имеется;23;Не присвоен;-;3;-;4;4;-;2291.70;0.00;1073.70;3298.00;0.00;кирпичный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Смешанные;142.40;Скатная;Отсутствует;Железобетонные;Иной;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534725;ул. Артиллерийская 61;1960;Не имеется;Нет;Не имеется;32;Не присвоен;-;2;-;4;4;-;1266.00;0.00;533.20;614.00;0.00;шлакоблочный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Каменные, кирпичные;0.00;Скатная;Отсутствует;Деревянные;Иной;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534726;ул. Артиллерийская 63;1957;Не имеется;Нет;Не имеется;64;Не присвоен;-;4;-;4;4;-;2536.30;0.00;1133.50;3875.00;0.00;шлакоблочный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Иные;0.00;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534727;ул. Артиллерийская 63А;1959;Не имеется;Нет;Не имеется;64;Не присвоен;-;4;-;4;4;-;2550.60;0.00;1144.10;5010.00;0.00;шлакоблочный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Иные;0.00;Скатная;Отсутствует;Железобетонные;Иной;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534728;ул. Артиллерийская 63Б;1959;Не имеется;Нет;Не имеется;64;Не присвоен;-;4;-;4;4;-;2574.10;0.00;1142.80;5298.00;0.00;шлакоблочный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Иные;0.00;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/520335;ул. Артиллерийская 64;1959;Есть;Нет;-;-;-;-;2;-;3;1;-;901.90;-;-;-;-;Блочный;Не имеется;На счете регионального оператора;Многоквартирный дом;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534729;ул. Артиллерийская 65;1960;Не имеется;Нет;Не имеется;64;Не присвоен;-;4;-;4;4;1;2501.50;45.20;1135.20;1198.00;0.00;шлакоблочный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Иные;0.00;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534730;ул. Артиллерийская 65А;1960;Не имеется;Нет;Не имеется;64;Не присвоен;-;4;-;4;4;-;2544.90;0.00;1149.30;3418.00;0.00;шлаблочный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Иные;0.00;Скатная;Отсутствует;Железобетонные;Иной;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534731;ул. Артиллерийская 65Б;1959;Не имеется;Нет;Не имеется;64;Не присвоен;-;4;-;4;4;1;2554.80;166.80;1507.80;3436.00;0.00;шлакоблочный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Иные;328.20;Скатная;Отсутствует;Железобетонные;Иной;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/520337;ул. Артиллерийская 66А;1964;Есть;Нет;-;53;-;-;2;-;4;1;2;773.80;72.30;-;-;-;Блочный;Есть;На счете регионального оператора;Многоквартирный дом;-;-;Каменные, кирпичные;44.20;Скатная;Отсутствует;Железобетонные;Оштукатуренный;Бетонные столбы;-;-;-;Центральное;-;-;-;-;Центральное;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/520336;ул. Артиллерийская 66;1960;Есть;Нет;-;143;-;-;4;-;5;1;2;2054.10;27.80;-;-;-;Блочный;Есть;-;Многоквартирный дом;-;-;Каменные, кирпичные;-;Скатная;Отсутствует;Железобетонные;Оштукатуренный;Сплошной;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/534732;ул. Артиллерийская 67;1958;Не имеется;Нет;Не имеется;34;Не присвоен;-;4;-;4;4;1;2182.70;106.30;1407.60;2796.00;0.00;кирпичный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Каменные, кирпичные;344.90;Скатная;Отсутствует;Железобетонные;Иной;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/669176;ул. Артиллерийская 68;1965;Не имеется;Нет;-;32;Не присвоен;-;2;-;4;1;-;1287.90;0.00;553.60;2180.70;0.00;шлакоблочный;Не имеется;На счете регионального оператора;Многоквартирный дом;-;-;Каменные, кирпичные;431.60;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Сборный;1;0.00;Приточная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/537394;ул. Артиллерийская 69;1959;Не имеется;Нет;Не имеется;30;Не присвоен;-;4;-;3;3;-;1747.20;0.00;1624.40;2520.00;0.00;lheujq nbg;Не имеется;На счете регионального оператора;Многоквартирный дом;не имеется;-;Иные;469.00;Скатная;Отсутствует;Железобетонные;Оштукатуренный;Ленточный;4;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/537395;ул. Артиллерийская 71;1957;Не имеется;Нет;Не имеется;26;Не присвоен;-;4;-;3;3;3;1525.20;505.10;1312.60;3100.00;0.00;другой тип;Не имеется;На счете регионального оператора;Многоквартирный дом;не имеется;-;Иные;432.00;Скатная;Отсутствует;Железобетонные;Иной;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/537396;ул. Артиллерийская 77;1947;-;Нет;-;-;-;-;1;-;2;-;-;468.50;0.00;-;-;-;-;-;-;Многоквартирный дом;-;-;Иные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/537397;ул. Артиллерийская 87;1949;Не имеется;Нет;Не имеется;20;Не присвоен;-;2;-;2;2;-;784.40;0.00;582.20;2232.00;0.00;другой тип;Не имеется;На счете регионального оператора;Многоквартирный дом;не имеется;-;Иные;0.00;Скатная;Отсутствует;Деревянные;Оштукатуренный;Ленточный;2;0.00;Приточно-вытяжная вентиляция;Центральное;Отсутствует;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/537398;ул. Артиллерийская 89;1955;-;Нет;-;-;-;-;2;-;2;-;-;767.50;0.00;-;-;-;-;-;-;Многоквартирный дом;-;-;Иные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
